tiempo,Susceptibles,Expuestos,Asintomáticos (I0),Modedados (I1),Severos (I2),Críticos (I3),Recuperados (R),Muertos (D),Muertes naturales(NR)
2020-03-04,2909.2018393332696,950.282189055213,101080.777412376,72780.2296351189,25155.382669069902,4828.83244658306,39034.8781127175,40.9252696220475,224.013820530126
2020-03-06,2192.60730253603,716.4490767052749,96559.2206035718,73470.4799954062,26316.952686571898,5192.14213249974,41421.575952911,45.7541020686305,227.09994505201098
2020-03-07,1655.0217664897,537.475905681206,92092.9976975759,74033.61437883941,27467.027217634302,5564.955803219089,43853.3203572268,50.9462442011303,230.410659375409
2020-03-08,1252.56474535695,402.374270044422,87723.1128269319,74474.0827379834,28602.7862784961,5946.50058733438,46326.728339747,56.51120000434939,233.952294597174
2020-03-09,951.245256948749,301.256860170934,83478.5579804113,74797.2265818528,29721.587199143,6335.97488423124,48838.456838641905,62.457700591683796,237.730788800645
2020-03-10,725.2762763709261,225.921418314976,79378.6205241814,75008.9642546637,30820.9820436873,6732.554177517471,51385.228783918494,68.79367547591501,241.751685092115
2020-03-11,555.3503164414959,169.889696115611,75435.1101047339,75115.5401710772,31898.726929812998,7135.3969720840505,53963.851912696104,75.52622965343251,246.020134465589
2020-03-13,427.122599847535,128.19994907813802,71654.2626481847,75123.3344817591,32952.7850047675,7543.6506508088005,56571.2316946911,82.6616266255165,250.540902236216
2020-03-14,329.97688967472,97.12435404282301,68038.2631117986,75038.72381973821,33981.324706511296,7956.45710035016,59204.3796873828,90.2052772763253,255.318377016719
2020-03-15,256.065693020359,73.8946978098774,64586.4150151551,74867.9825830716,34982.7146708829,8372.95800300183,61860.4184519537,98.1617343766755,260.356581438266
2020-03-16,199.584043383839,56.4688463518692,61296.015835421604,74617.2151500901,35955.5163552612,8792.299730109109,64536.583937055,106.534692379677,265.659184012271
2020-03-17,156.229139220182,43.3449249614871,58163.0012197916,74292.31109880531,36898.4751888671,9213.63780199967,67230.2260292737,115.32699210978599,271.229511686102
2020-03-18,122.802231539876,33.4190962233449,55182.4135928053,73898.9172308562,37810.510846710495,9636.14090095652,69938.8077955285,124.540629911786,277.070562766485
2020-03-19,96.91687642616631,25.879215002133,52348.7401354283,73442.4217071241,38690.7070784198,10058.9944390202,72659.9038059506,134.176770812743,283.18501997517996
2020-03-20,76.78561431241309,20.126416269931802,49656.154837880305,72927.9468135905,39538.3013982139,10481.4036928329,75391.1978218397,144.235765251763,289.575263468885
2020-03-21,61.064010853989494,15.7177641777081,47098.690658359104,72360.3478073029,40352.6748498949,10902.5965245727,78130.4800558346,154.717168944596,296.243383704631
2020-03-22,48.73647850861529,12.3244791448315,44670.360987587694,71744.2159894402,41133.341993326096,11321.8257122583,80875.6441544408,165.619765469168,303.19119406805
2020-03-23,39.032485166332606,9.70155651835729,42365.2444377293,71083.884665945,41879.941210091296,11738.370915066298,83624.68401143281,176.94159118142701,310.420243208018
2020-03-24,31.364871365162,7.66566217691227,40177.5431331431,70383.4370307788,42592.2253909796,12151.5403003617,86375.6904903487,188.679962096493,317.931827040256
2020-03-25,25.2842795637995,6.07902355779425,38101.6218715414,69646.71527861549,43270.0530428743,12560.6718592829,89126.8481122909,200.831502396855,325.727000396212
2020-03-27,20.4453553317979,4.8376600180233895,36132.0334861761,68877.3304504169,43913.379834804,12965.134437250601,91876.4317492464,213.392174256137,333.806588303549
